var;condition;mean;std
proteines_N_d_kg;0;0.66;0.125
LAom6_ei;0;3.08;0.15
ALAom3_ei;0;0.769;0.15
om3dha;0;0.192;0.15
epadha;0;0.385;0.15
fibres;0;23;0.15
vitb1_ei;0;0.3;0.2
vitb2;0;1.3;0.15
vitb3_ei;0;5.44;0.1
vitb9;0;250;0.15
vitb12;0;3.33;0.1
vitc;0;90;0.1
vitd;0;10;0.25
Iode;0;107;0.2
mg_kg;0;5;0.15
ca_mol;0;1.65;0.075
k;0;2692;0.15
Se;0;54;0.15
zn_biodis;0;0.642;0.10
Ca;24;860;0.15
Ca;25;750;0.13
Fe;1;0.95;0.4
Fe;2;0.18;0.34
vita;1;570;0.15
vita;2;490;0.15
vitb5;1;3.62;0.3
vitb5;2;2.94;0.3
vitb6;1;1.5;0.1
vitb6;2;1.3;0.1
vite;1;5.8;0.40
vite;2;5.5;0.4
Cu;1;1;0.15
Cu;2;0.8;0.15
Mn;1;1.56;0.4
Mn;2;1.39;0.4
